ORIGIN,DESTINATION,ORIGIN_PORT_CODE,DESTINATION_PORT_CODE,SERVICE_VERSION_AND_ROUNDTRIP_IDENTFIERS,ORIGIN_SERVICE_VERSION_AND_MASTER,DESTINATION_SERVICE_VERSION_AND_MASTER,ORIGIN_AT_UTC,OFFERED_CAPACITY_TEU
china_main,north_europe_main,CNSGH,NLRTM,COSCO SHIPPING STAR | 22093.000000000 | v12-s9 | v12-s9 | 2 - 2,OCEAN - NEU2 || CMA - FAL2 | COSCO - AEU3 | EMC - NE3 | OOCL - LL2 / OCEAN - NEU2 || CMA - FAL2 | COSCO - AEU3 | EMC - NE3 | OOCL - LL2,OCEAN - NEU2 || CMA - FAL2 | COSCO - AEU3 | EMC - NE3 | OOCL - LL2 / OCEAN - NEU2 || CMA - FAL2 | COSCO - AEU3 | EMC - NE3 | OOCL - LL2,2024-06-09 12:58:00.000,21237
china_main,north_europe_main,CNSGH,DEHAM,MSC AAYA | 23440.000000000 | v14-s13 | v14-s13 | 2 - 2,MSC - Swan / MSC - Swan,MSC - Swan / MSC - Swan,2024-06-19 00:19:00.000,15264
china_main,north_europe_main,CNNBO,DEWVN,MARCHEN MAERSK | 23070.000000000 | v1-s1 | v1-s1 | 2 - 2,2M - NEUR loop 1x || ML - AE5x | MSC - Albatrosx / 2M - NEUR loop 1x || ML - AE5x | MSC - Albatrosx,2M - NEUR loop 1x || ML - AE5x | MSC - Albatrosx / 2M - NEUR loop 1x || ML - AE5x | MSC - Albatrosx,2024-05-11 18:30:00.000,18300
china_main,north_europe_main,CNTXG,DEBRV,MSC DITTE | 27630.000000000 | v13-s7 | v13-s6 | 2 - 2,2M - NEUR loop 2 || ML - AE10 | MSC - Silk / 2M - NEUR loop 2 || ML - AE10 | MSC - Silk,2M - NEUR loop 2 || ML - AE10 | MSC - Silk / 2M - NEUR loop 2 || ML - AE10 | MSC - Silk,2023-12-06 19:56:00.000,19224
china_main,north_europe_main,CNSGH,BEANR,EVER STRONG | 21581.000000000 | v7-s6 | v7-s6 | 2 - 2,OCEAN - NEU7 || CMA - FAL8 | COSCO - AEU9 | EMC - CES | OOCL - LL7 / OCEAN - NEU7 || CMA - FAL8 | COSCO - AEU9 | EMC - CES | OOCL - LL7,OCEAN - NEU7 || CMA - FAL8 | COSCO - AEU9 | EMC - CES | OOCL - LL7 / OCEAN - NEU7 || CMA - FAL8 | COSCO - AEU9 | EMC - CES | OOCL - LL7,2024-01-29 17:59:00.000,7024
china_main,north_europe_main,CNSGH,BEANR,CMA CGM CONCORDE | 21574.000000000 | v15-s12 | v15-s12 | 2 - 2,OCEAN - NEU5 || CMA - FAL3 | COSCO - AEU6 | EMC - FAL3 | OOCL - LL5 / OCEAN - NEU5 || CMA - FAL3 | COSCO - AEU6 | EMC - FAL3 | HL - FE9 | OOCL - LL5,OCEAN - NEU5 || CMA - FAL3 | COSCO - AEU6 | EMC - FAL3 | OOCL - LL5 / OCEAN - NEU5 || CMA - FAL3 | COSCO - AEU6 | EMC - FAL3 | HL - FE9 | OOCL - LL5,2024-01-27 21:24:00.000,23112
china_main,north_europe_main,CNNBO,BEANR,CMA CGM TROCADERO | 21573.000000000 | v14-s4 | v14-s4 | 2 - 2,OCEAN - NEU5 || CMA - FAL3 | COSCO - AEU6 | EMC - FAL3 | OOCL - LL5 / OCEAN - NEU5 || CMA - FAL3 | COSCO - AEU6 | EMC - FAL3 | HL - FE9 | OOCL - LL5,OCEAN - NEU5 || CMA - FAL3 | COSCO - AEU6 | EMC - FAL3 | OOCL - LL5 / OCEAN - NEU5 || CMA - FAL3 | COSCO - AEU6 | EMC - FAL3 | HL - FE9 | OOCL - LL5,2023-12-04 16:34:00.000,23112
china_main,north_europe_main,CNYTN,BEANR,ONE INTELLIGENCE | 21526.000000000 | v14-s14 | v14-s15 | 2 - 2,THEA - FE3 || HL - FE3 | HMM - FE3 | ONE - FE3 | YML - FE3 / THEA - FE3 || HL - FE3 | HMM - FE3 | ONE - FE3 | YML - FE3,THEA - FE3 || HL - FE3 | HMM - FE3 | ONE - FE3 | YML - FE3 / THEA - FE3 || HL - FE3 | HMM - FE3 | ONE - FE3 | YML - FE3,2024-01-06 07:35:00.000,24136
china_main,north_europe_main,CNNBO,DEBRV,MURCIA MAERSK | 21411.000000000 | v14-s12 | v14-s12 | 3 - 3,2M - NEUR loop 1 || ML - AE5 | MSC - Albatros / 2M - NEUR loop 1 || ML - AE5 | MSC - Albatros,2M - NEUR loop 1 || ML - AE5 | MSC - Albatros / 2M - NEUR loop 1 || ML - AE5 | MSC - Albatros,2024-05-18 09:44:00.000,20568
china_main,north_europe_main,CNNBO,DEBRV,MARGRETHE MAERSK | 21411.000000000 | v14-s11 | v14-s11 | 2 - 2,2M - NEUR loop 1 || ML - AE5 | MSC - Albatros / 2M - NEUR loop 1 || ML - AE5 | MSC - Albatros,2M - NEUR loop 1 || ML - AE5 | MSC - Albatros / 2M - NEUR loop 1 || ML - AE5 | MSC - Albatros,2024-01-18 12:39:00.000,18300
